"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2024","1","16","00:00","88.2"
"Jokioinen Ilmala","2024","1","17","00:00","6.9"
"Jokioinen Ilmala","2024","1","18","00:00","0.8"
"Jokioinen Ilmala","2024","1","19","00:00","8.4"
"Jokioinen Ilmala","2024","1","20","00:00","78.4"
"Jokioinen Ilmala","2024","1","21","00:00","2.1"
"Jokioinen Ilmala","2024","1","22","00:00","0.2"
"Jokioinen Ilmala","2024","1","23","00:00","0.3"
"Jokioinen Ilmala","2024","1","24","00:00","0.9"
"Jokioinen Ilmala","2024","1","25","00:00","4.4"
"Jokioinen Ilmala","2024","1","26","00:00","129.5"
"Jokioinen Ilmala","2024","1","27","00:00","1.2"
"Jokioinen Ilmala","2024","1","28","00:00","1.1"
"Jokioinen Ilmala","2024","1","29","00:00","42.9"
"Jokioinen Ilmala","2024","1","30","00:00","12.5"
"Jokioinen Ilmala","2024","1","31","00:00","1.1"
"Jokioinen Ilmala","2024","2","1","00:00","114.6"
"Jokioinen Ilmala","2024","2","2","00:00","128.4"
"Jokioinen Ilmala","2024","2","3","00:00","1.9"
"Jokioinen Ilmala","2024","2","4","00:00","13.6"
"Jokioinen Ilmala","2024","2","5","00:00","8.3"
"Jokioinen Ilmala","2024","2","6","00:00","62.8"
"Jokioinen Ilmala","2024","2","7","00:00","78.8"
"Jokioinen Ilmala","2024","2","8","00:00","185.1"
"Jokioinen Ilmala","2024","2","9","00:00","205.7"
"Jokioinen Ilmala","2024","2","10","00:00","206.9"
"Jokioinen Ilmala","2024","2","11","00:00","212.3"
"Jokioinen Ilmala","2024","2","12","00:00","87.4"
"Jokioinen Ilmala","2024","2","13","00:00","0.3"
"Jokioinen Ilmala","2024","2","14","00:00","0.8"
"Jokioinen Ilmala","2024","2","15","00:00","0.9"
"Jokioinen Ilmala","2024","2","16","00:00","0.4"
"Jokioinen Ilmala","2024","2","17","00:00","1.2"
"Jokioinen Ilmala","2024","2","18","00:00","248.9"
"Jokioinen Ilmala","2024","2","19","00:00","6.2"
"Jokioinen Ilmala","2024","2","20","00:00","1.1"
"Jokioinen Ilmala","2024","2","21","00:00","0.5"
"Jokioinen Ilmala","2024","2","22","00:00","0.5"
"Jokioinen Ilmala","2024","2","23","00:00","0.4"
"Jokioinen Ilmala","2024","2","24","00:00","0.6"
"Jokioinen Ilmala","2024","2","25","00:00","1.1"
"Jokioinen Ilmala","2024","2","26","00:00","1"
"Jokioinen Ilmala","2024","2","27","00:00","2.1"
"Jokioinen Ilmala","2024","2","28","00:00","1.4"
"Jokioinen Ilmala","2024","2","29","00:00","0.9"
"Jokioinen Ilmala","2024","3","1","00:00","0.4"
"Jokioinen Ilmala","2024","3","2","00:00","0.5"
"Jokioinen Ilmala","2024","3","3","00:00","93"
"Jokioinen Ilmala","2024","3","4","00:00","1"
"Jokioinen Ilmala","2024","3","5","00:00","275.7"
"Jokioinen Ilmala","2024","3","6","00:00","313.5"
"Jokioinen Ilmala","2024","3","7","00:00","75.9"
"Jokioinen Ilmala","2024","3","8","00:00","1.5"
"Jokioinen Ilmala","2024","3","9","00:00","2.3"
"Jokioinen Ilmala","2024","3","10","00:00","212.5"
