"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2003","10","30","02:00","-","3"
"Kuopio keskusta","2003","10","31","02:00","-","1.9"
"Kuopio keskusta","2003","11","1","02:00","-","2.6"
"Kuopio keskusta","2003","11","2","02:00","-","2.4"
"Kuopio keskusta","2003","11","3","02:00","-","3.4"
"Kuopio keskusta","2003","11","4","02:00","-","4.8"
"Kuopio keskusta","2003","11","5","02:00","-","6.1"
"Kuopio keskusta","2003","11","6","02:00","-","6.6"
"Kuopio keskusta","2003","11","7","02:00","-","6.5"
"Kuopio keskusta","2003","11","8","02:00","-","2.9"
"Kuopio keskusta","2003","11","9","02:00","-","-0.3"
"Kuopio keskusta","2003","11","10","02:00","-","-1.9"
"Kuopio keskusta","2003","11","11","02:00","-","2.3"
"Kuopio keskusta","2003","11","12","02:00","-","1.2"
"Kuopio keskusta","2003","11","13","02:00","-","0.5"
"Kuopio keskusta","2003","11","14","02:00","-","2.2"
"Kuopio keskusta","2003","11","15","02:00","-","1.1"
"Kuopio keskusta","2003","11","16","02:00","-","1.6"
"Kuopio keskusta","2003","11","17","02:00","-","1.5"
"Kuopio keskusta","2003","11","18","02:00","-","1.1"
"Kuopio keskusta","2003","11","19","02:00","-","0"
"Kuopio keskusta","2003","11","20","02:00","-","-0.8"
"Kuopio keskusta","2003","11","21","02:00","-","-2.5"
"Kuopio keskusta","2003","11","22","02:00","-","-5.3"
"Kuopio keskusta","2003","11","23","02:00","-","-5.8"
"Kuopio keskusta","2003","11","24","02:00","-","-3.9"
"Kuopio keskusta","2003","11","25","02:00","-","-4.1"
"Kuopio keskusta","2003","11","26","02:00","-","-4.9"
"Kuopio keskusta","2003","11","27","02:00","-","-2.1"
"Kuopio keskusta","2003","11","28","02:00","-","1.6"
"Kuopio keskusta","2003","11","29","02:00","-","2.6"
"Kuopio keskusta","2003","11","30","02:00","-","0.8"
"Kuopio keskusta","2003","12","1","02:00","-","2.2"
"Kuopio keskusta","2003","12","2","02:00","-","2.8"
"Kuopio keskusta","2003","12","3","02:00","-","2"
"Kuopio keskusta","2003","12","4","02:00","-","3.4"
"Kuopio keskusta","2003","12","5","02:00","-","-0.1"
"Kuopio keskusta","2003","12","6","02:00","-","-4.8"
"Kuopio keskusta","2003","12","7","02:00","-","-2.5"
"Kuopio keskusta","2003","12","8","02:00","-","-0.1"
"Kuopio keskusta","2003","12","9","02:00","-","-5.3"
"Kuopio keskusta","2003","12","10","02:00","-","-0.1"
"Kuopio keskusta","2003","12","11","02:00","-","2.6"
"Kuopio keskusta","2003","12","12","02:00","-","-1.8"
"Kuopio keskusta","2003","12","13","02:00","-","-3.8"
"Kuopio keskusta","2003","12","14","02:00","-","-3.3"
"Kuopio keskusta","2003","12","15","02:00","-","-4"
